_id,ratings.overall,offeringDetails[0].hotel_class,offeringDetails[0].name
65ac468e7672c3f8efe3df93,4,3,"nyma, the New York Manhattan Hotel"
65ac468e7672c3f8efe3e2d8,3,2,Comfort Inn Manhattan
65ac468e7672c3f8efe3e5e0,3,4,Millenium Hilton
65ac468e7672c3f8efe3e813,4,4,Millenium Hilton
65ac468e7672c3f8efe3e9f0,4,4.5,Waldorf Astoria New York
65ac468f7672c3f8efe3ec4e,4,4.5,Waldorf Astoria New York
65ac468f7672c3f8efe3ecf9,2,4.5,Waldorf Astoria New York
65ac468f7672c3f8efe3ee4e,2,4,Millenium Hilton
65ac468f7672c3f8efe3ef6d,4,4,Millenium Hilton
65ac468f7672c3f8efe3f1a9,3,2,Comfort Inn Manhattan
65ac468f7672c3f8efe3f477,4,2,Comfort Inn Manhattan
65ac468f7672c3f8efe3f690,4,2,Comfort Inn Manhattan
65ac468f7672c3f8efe3f712,4,3,Pod 51
65ac468f7672c3f8efe3f962,4,4.5,JW Marriott Essex House New York
65ac468f7672c3f8efe3fc51,5,3,The Wall Street Inn
65ac468f7672c3f8efe40116,4,4,"The Standard, East Village"
65ac468f7672c3f8efe405f7,5,4,"The Standard, East Village"
65ac468f7672c3f8efe408d0,3,4.5,Waldorf Astoria New York
65ac46907672c3f8efe40b0d,5,4.5,Dream Downtown
65ac46907672c3f8efe40b7a,5,4,"The Standard, East Village"
65ac46907672c3f8efe40cc9,4,3,"nyma, the New York Manhattan Hotel"
65ac46907672c3f8efe41225,1,3,Park South Hotel
65ac46907672c3f8efe4156a,3,4,Hilton New York Fashion District
65ac46907672c3f8efe41890,4,3.5,Novotel New York Times Square
65ac46907672c3f8efe4189a,4,4,Millenium Hilton
65ac46907672c3f8efe41c8e,3,2,Broadway at Times Square Hotel
65ac46907672c3f8efe41d8c,4,3.5,Novotel New York Times Square
65ac46907672c3f8efe41eba,4,3,Holiday Inn Express New York City Times Square
65ac46907672c3f8efe41fa1,4,4,Millenium Hilton
65ac46907672c3f8efe4222c,4,3.5,Novotel New York Times Square
65ac46907672c3f8efe42355,3,4.5,Waldorf Astoria New York
65ac46907672c3f8efe423d6,5,4,Club Quarters World Trade Center
65ac46907672c3f8efe43098,4,3,Pod 51
65ac46917672c3f8efe432ee,5,2,Broadway at Times Square Hotel
65ac46917672c3f8efe43881,4,4,The New Yorker Hotel
65ac46917672c3f8efe43b02,2,4.5,InterContinental New York Times Square
65ac46917672c3f8efe43b8d,5,3,Pod 51
65ac46917672c3f8efe43e51,4,3.5,Courtyard by Marriott New York Manhattan / Midtown East
65ac46917672c3f8efe43fc9,3,4.5,Waldorf Astoria New York
65ac46917672c3f8efe44022,3,4.5,Sofitel New York
65ac46917672c3f8efe44090,5,4.5,Sofitel New York
65ac46917672c3f8efe440a4,3,4.5,InterContinental New York Times Square
65ac46917672c3f8efe440ce,4,4,Affinia 50
65ac46917672c3f8efe44199,4,3.5,The Belvedere
65ac46917672c3f8efe44253,4,4,InterContinental New York Barclay
65ac46917672c3f8efe44736,4,3,Pod 51
65ac46917672c3f8efe4495b,1,3,Pod 51
65ac46917672c3f8efe449ff,4,4.5,InterContinental New York Times Square
65ac46917672c3f8efe44e59,5,4.5,Sofitel New York
65ac46917672c3f8efe44fa3,3,4,InterContinental New York Barclay
65ac46917672c3f8efe45643,4,3,Residence Inn by Marriott Times Square New York
65ac46927672c3f8efe45c9a,3,3,Residence Inn by Marriott Times Square New York
65ac46927672c3f8efe45d3f,5,3,Pod 51
65ac46927672c3f8efe45f1f,5,3,Pod 51
65ac46927672c3f8efe462d6,4,4,Affinia Shelburne
65ac46927672c3f8efe4660c,4,3,Holiday Inn Express New York City Times Square
65ac46927672c3f8efe4671b,3,4,Affinia 50
65ac46927672c3f8efe469e7,4,3,Holiday Inn Express New York City Times Square
65ac46927672c3f8efe46a43,4,4,The New Yorker Hotel
65ac46927672c3f8efe46d2f,5,4,Affinia 50
65ac46927672c3f8efe47143,5,4,Affinia 50
65ac46927672c3f8efe471f2,5,3.5,Affinia Manhattan
65ac46927672c3f8efe47364,4,4,The New Yorker Hotel
65ac46927672c3f8efe473b9,3,3,Holiday Inn Express New York City Times Square
65ac46927672c3f8efe474a1,4,4,Hotel Mela
65ac46927672c3f8efe4791d,4,3.5,Affinia Manhattan
65ac46927672c3f8efe47926,5,4,Hotel Mela
65ac46927672c3f8efe47da7,4,4,InterContinental New York Barclay
65ac46927672c3f8efe48000,5,4.5,Sofitel New York
65ac46937672c3f8efe48123,5,3.5,Courtyard by Marriott New York Manhattan / Times Square South
65ac46937672c3f8efe484c1,5,3.5,The Belvedere
65ac46937672c3f8efe4873b,4,4,"Hotel Indigo New York City, Chelsea"
65ac46937672c3f8efe49180,4,4,The Westin New York at Times Square
65ac46937672c3f8efe4989d,4,4,Hotel Mela
65ac46937672c3f8efe49ab5,4,3,Ace Hotel NYC
65ac46937672c3f8efe49bd5,5,3,Ace Hotel NYC
65ac46937672c3f8efe49c3f,1,3,Wingate by Wyndham Manhattan Midtown
65ac46937672c3f8efe49c6a,5,5,AKA Sutton Place
65ac46937672c3f8efe49db4,4,3,BEST WESTERN Bowery Hanbee Hotel
65ac46937672c3f8efe4a147,5,4,Night Hotel
65ac46937672c3f8efe4a4fc,4,3,Wingate by Wyndham Manhattan Midtown
65ac46937672c3f8efe4a598,5,3,Wingate by Wyndham Manhattan Midtown
65ac46947672c3f8efe4a7fa,3,4,The Westin New York at Times Square
65ac46947672c3f8efe4aa6b,4,3,Ace Hotel NYC
65ac46947672c3f8efe4b37e,5,4,70 park avenue hotel - a Kimpton Hotel
65ac46947672c3f8efe4b566,5,4,The Westin New York at Times Square
65ac46947672c3f8efe4bcb1,4,4,New York Marriott Marquis
65ac46947672c3f8efe4c389,4,3.5,Affinia Manhattan
65ac46947672c3f8efe4c597,5,3,Hampton Inn Manhattan-SoHo
65ac46947672c3f8efe4c5ea,3,4,Crowne Plaza Times Square Manhattan
65ac46947672c3f8efe4c758,4,3,Salisbury Hotel
65ac46957672c3f8efe4cb55,3,4,Hyatt 48 Lex
65ac46957672c3f8efe4cb7d,5,4,Hyatt 48 Lex
65ac46957672c3f8efe4cc6e,5,4.5,W New York - Times Square
65ac46957672c3f8efe4d69e,4,5,Gramercy Park Hotel
65ac46957672c3f8efe4d774,5,,Smyth Hotel - A Thompson Hotel
65ac46957672c3f8efe4d956,3,4.5,Royalton New York
65ac46957672c3f8efe4dd9e,4,3,Hotel Metro
65ac46957672c3f8efe4dfbe,4,5,"Mandarin Oriental, New York"
65ac46957672c3f8efe4e123,4,5,The Peninsula New York
65ac46957672c3f8efe4e26e,3,5,"Mandarin Oriental, New York"
65ac46957672c3f8efe4e2ef,4,5,Ritz-Carlton Battery Park
65ac46957672c3f8efe4e46e,2,4,The Westin New York at Times Square
65ac46957672c3f8efe4e6b4,5,4,The Westin New York at Times Square
65ac46957672c3f8efe4e902,5,3,Hotel Metro
65ac46967672c3f8efe4f44a,4,4,New York Marriott Marquis
65ac46967672c3f8efe4f6b6,4,4.5,Royalton New York
